ORIGIN,STATE,CITY,LOCAL,IATA,IDENT,NAME
BGM,NY,Binghamton,BGM,BGM,KBGM,Greater Binghamton/Edwin A Link field
INL,MN,International Falls,INL,INL,KINL,Falls International Airport
PSE,,,,,,
DLG,AK,Dillingham,DLG,DLG,PADL,Dillingham Airport
MSY,LA,New Orleans,MSY,MSY,KMSY,Louis Armstrong New Orleans International Airport
PPG,,,,,,
GEG,WA,Spokane,GEG,GEG,KGEG,Spokane International Airport
DRT,TX,Del Rio,DRT,DRT,KDRT,Del Rio International Airport
SNA,CA,Santa Ana,SNA,SNA,KSNA,John Wayne Airport-Orange County Airport
BUR,CA,Burbank,BUR,BUR,KBUR,Bob Hope Airport
GRB,WI,Green Bay,GRB,GRB,KGRB,Austin Straubel International Airport
GTF,MT,Great Falls,GTF,GTF,KGTF,Great Falls International Airport
IFP,AZ,Bullhead City,IFP,IFP,KIFP,Laughlin Bullhead International Airport
IDA,ID,Idaho Falls,IDA,IDA,KIDA,Idaho Falls Regional Airport
GRR,MI,Grand Rapids,GRR,GRR,KGRR,Gerald R. Ford International Airport
LWB,WV,Lewisburg,LWB,LWB,KLWB,Greenbrier Valley Airport
JLN,MO,Joplin,JLN,JLN,KJLN,Joplin Regional Airport
PVU,UT,Provo,PVU,PVU,KPVU,Provo-Utah Lake International Airport
EUG,OR,Eugene,EUG,EUG,KEUG,Mahlon Sweet Field
PSG,AK,Petersburg,PSG,PSG,PAPG,Petersburg James A Johnson Airport
PVD,RI,Providence,PVD,PVD,KPVD,Theodore Francis Green State Airport
MYR,SC,Myrtle Beach,MYR,MYR,KMYR,Myrtle Beach International Airport
GSO,NC,Greensboro,GSO,GSO,KGSO,Piedmont Triad International Airport
OAK,CA,Oakland,OAK,OAK,KOAK,Metropolitan Oakland International Airport
EAR,NE,Kearney,EAR,EAR,KEAR,Kearney Regional Airport
MSN,WI,Madison,MSN,MSN,KMSN,Dane County Regional Truax Field
FSM,AR,Fort Smith,FSM,FSM,KFSM,Fort Smith Regional Airport
FAR,ND,Fargo,FAR,FAR,KFAR,Hector International Airport
MQT,MI,Gwinn,SAW,MQT,KSAW,Sawyer International Airport
BTM,MT,Butte,BTM,BTM,KBTM,Bert Mooney Airport
COD,WY,Cody,COD,COD,KCOD,Yellowstone Regional Airport
SCC,AK,Deadhorse,SCC,SCC,PASC,Deadhorse Airport
ESC,MI,Escanaba,ESC,ESC,KESC,Delta County Airport
DCA,DC,Washington,DCA,DCA,KDCA,Ronald Reagan Washington National Airport
RFD,IL,Chicago/Rockford,RFD,RFD,KRFD,Chicago Rockford International Airport
MLU,LA,Monroe,MLU,MLU,KMLU,Monroe Regional Airport
CID,IA,Cedar Rapids,CID,CID,KCID,The Eastern Iowa Airport
GTR,MS,Columbus/W Point/Starkville,GTR,GTR,KGTR,Golden Triangle Regional Airport
LWS,ID,Lewiston,LWS,LWS,KLWS,Lewiston Nez Perce County Airport
PIB,MS,Moselle,PIB,PIB,KPIB,Hattiesburg Laurel Regional Airport
SWO,OK,Stillwater,SWO,SWO,KSWO,Stillwater Regional Airport
UTM,MS,Tunica,UTA,UTM,KUTA,Tunica Municipal Airport
WRG,AK,Wrangell,WRG,WRG,PAWG,Wrangell Airport
HLN,MT,Helena,HLN,HLN,KHLN,Helena Regional Airport
CIU,MI,Sault Ste Marie,CIU,CIU,KCIU,Chippewa County International Airport
IAG,NY,Niagara Falls,IAG,IAG,KIAG,Niagara Falls International Airport
LEX,KY,Lexington,LEX,LEX,KLEX,Blue Grass Airport
RDM,OR,Redmond,RDM,RDM,KRDM,Roberts Field
FLO,SC,Florence,FLO,FLO,KFLO,Florence Regional Airport
JMS,ND,Jamestown,JMS,JMS,KJMS,Jamestown Regional Airport
ORF,VA,Norfolk,ORF,ORF,KORF,Norfolk International Airport
SCE,PA,State College,UNV,SCE,KUNV,University Park Airport
EVV,IN,Evansville,EVV,EVV,KEVV,Evansville Regional Airport
KTN,AK,Ketchikan,KTN,KTN,PAKT,Ketchikan International Airport
ENV,UT,Wendover,ENV,ENV,KENV,Wendover Airport
CRW,WV,Charleston,CRW,CRW,KCRW,Yeager Airport
CWA,WI,Mosinee,CWA,CWA,KCWA,Central Wisconsin Airport
OGS,NY,Ogdensburg,OGS,OGS,KOGS,Ogdensburg International Airport
SAV,GA,Savannah,SAV,SAV,KSAV,Savannah Hilton Head International Airport
GCK,KS,Garden City,GCK,GCK,KGCK,Garden City Regional Airport
TRI,TN,Blountville,TRI,TRI,KTRI,Tri-Cities Regional TN/VA Airport
CDV,AK,Cordova,CDV,CDV,PACV,Merle K (Mudhole) Smith Airport
CMH,OH,Columbus,CMH,CMH,KCMH,John Glenn Columbus International Airport
MOD,CA,Modesto,MOD,MOD,KMOD,Modesto City Co-Harry Sham Field
SPN,,,,,,
YNG,OH,Youngstown/Warren,YNG,YNG,KYNG,Youngstown Warren Regional Airport
MWH,WA,Moses Lake,MWH,MWH,KMWH,Grant County International Airport
LBF,NE,North Platte,LBF,LBF,KLBF,North Platte Regional Airport Lee Bird Field
CAK,OH,Akron,CAK,CAK,KCAK,Akron Canton Regional Airport
TYR,TX,Tyler,TYR,TYR,KTYR,Tyler Pounds Regional Airport
ADK,AK,Adak,ADK,ADK,PADK,Adak Airport
CHO,VA,Charlottesville,CHO,CHO,KCHO,Charlottesville Albemarle Airport
MOB,AL,Mobile,MOB,MOB,KMOB,Mobile Regional Airport
PNS,FL,Pensacola,PNS,PNS,KPNS,Pensacola International Airport
MCN,GA,Macon,MCN,MCN,KMCN,Middle Georgia Regional Airport
DIK,ND,Dickinson,DIK,DIK,KDIK,Dickinson Theodore Roosevelt Regional Airport
CEC,CA,Crescent City,CEC,CEC,KCEC,Jack Mc Namara Field Airport
LIH,HI,Lihue,LIH,LIH,PHLI,Lihue Airport
IAH,TX,Houston,IAH,IAH,KIAH,George Bush Intercontinental Houston Airport
HNL,HI,Honolulu,HNL,HNL,PHNL,Daniel K Inouye International Airport
SLN,KS,Salina,SLN,SLN,KSLN,Salina Municipal Airport
SHV,LA,Shreveport,SHV,SHV,KSHV,Shreveport Regional Airport
ERI,PA,Erie,ERI,ERI,KERI,Erie International Tom Ridge Field
GST,AK,Gustavus,GST,GST,PAGS,Gustavus Airport
SJC,CA,San Jose,SJC,SJC,KSJC,Norman Y. Mineta San Jose International Airport
CVG,KY,Cincinnati / Covington,CVG,CVG,KCVG,Cincinnati Northern Kentucky International Airport
TOL,OH,Toledo,TOL,TOL,KTOL,Eugene F. Kranz Toledo Express Airport
LGA,NY,New York,LGA,LGA,KLGA,La Guardia Airport
BUF,NY,Buffalo,BUF,BUF,KBUF,Buffalo Niagara International Airport
TLH,FL,Tallahassee,TLH,TLH,KTLH,Tallahassee Regional Airport
CDC,UT,Cedar City,CDC,CDC,KCDC,Cedar City Regional Airport
ACT,TX,Waco,ACT,ACT,KACT,Waco Regional Airport
HPN,NY,White Plains,HPN,HPN,KHPN,Westchester County Airport
RDD,CA,Redding,RDD,RDD,KRDD,Redding Municipal Airport
AUS,TX,Austin,AUS,AUS,KAUS,Austin Bergstrom International Airport
MLI,IL,Moline,MLI,MLI,KMLI,Quad City International Airport
GCC,WY,Gillette,GCC,GCC,KGCC,Northeast Wyoming Regional Airport
SJU,,,,,,
DHN,AL,Dothan,DHN,DHN,KDHN,Dothan Regional Airport
ATW,WI,Appleton,ATW,ATW,KATW,Appleton International Airport
LGB,CA,Long Beach,LGB,LGB,KLGB,Long Beach Airport (Daugherty Field)
AVL,NC,Asheville,AVL,AVL,KAVL,Asheville Regional Airport
GJT,CO,Grand Junction,GJT,GJT,KGJT,Grand Junction Regional Airport
LYH,VA,Lynchburg,LYH,LYH,KLYH,Lynchburg Regional Airport - Preston Glenn Field
BFL,CA,Bakersfield,BFL,BFL,KBFL,Meadows Field
GFK,ND,Grand Forks,GFK,GFK,KGFK,Grand Forks International Airport
CNY,UT,Moab,CNY,CNY,KCNY,Canyonlands Field
RNO,NV,Reno,RNO,RNO,KRNO,Reno Tahoe International Airport
SRQ,FL,Sarasota/Bradenton,SRQ,SRQ,KSRQ,Sarasota Bradenton International Airport
EYW,FL,Key West,EYW,EYW,KEYW,Key West International Airport
SBN,IN,South Bend,SBN,SBN,KSBN,South Bend Regional Airport
BJI,MN,Bemidji,BJI,BJI,KBJI,Bemidji Regional Airport
TTN,NJ,Trenton,TTN,TTN,KTTN,Trenton Mercer Airport
RST,MN,Rochester,RST,RST,KRST,Rochester International Airport
JAC,WY,Jackson,JAC,JAC,KJAC,Jackson Hole Airport
CHS,SC,Charleston,CHS,CHS,KCHS,Charleston International Airport
HGR,MD,Hagerstown,HGR,HGR,KHGR,Hagerstown Regional Richard A Henson Field
HRL,TX,Harlingen,HRL,HRL,KHRL,Valley International Airport
TUL,OK,Tulsa,TUL,TUL,KTUL,Tulsa International Airport
RSW,FL,Fort Myers,RSW,RSW,KRSW,Southwest Florida International Airport
IPL,CA,Imperial,IPL,IPL,KIPL,Imperial County Airport
ISP,NY,Islip,ISP,ISP,KISP,Long Island Mac Arthur Airport
AMA,TX,Amarillo,AMA,AMA,KAMA,Rick Husband Amarillo International Airport
BOS,MA,Boston,BOS,BOS,KBOS,Logan International Airport
MAF,TX,Midland,MAF,MAF,KMAF,Midland International Airport
MLB,FL,Melbourne,MLB,MLB,KMLB,Melbourne Orlando International Airport
TUP,MS,Tupelo,TUP,TUP,KTUP,Tupelo Regional Airport
EWR,NJ,Newark,EWR,EWR,KEWR,Newark Liberty International Airport
LAS,NV,Las Vegas,LAS,LAS,KLAS,Harry Reid International Airport
BIS,ND,Bismarck,BIS,BIS,KBIS,Bismarck Municipal Airport
OGD,UT,Ogden,OGD,OGD,KOGD,Ogden Hinckley Airport
JAN,MS,Jackson,JAN,JAN,KJAN,Jackson-Medgar Wiley Evers International Airport
ITO,HI,Hilo,ITO,ITO,PHTO,Hilo International Airport
FAI,AK,Fairbanks,FAI,FAI,PAFA,Fairbanks International Airport
IMT,MI,Iron Mountain / Kingsford,IMT,IMT,KIMT,Ford Airport
UIN,IL,Quincy,UIN,UIN,KUIN,Quincy Regional Baldwin Field
XNA,AR,Fayetteville/Springdale/Rogers,XNA,XNA,KXNA,Northwest Arkansas Regional Airport
HHH,SC,Hilton Head Island,HXD,HHH,KHXD,Hilton Head Airport
DLH,MN,Duluth,DLH,DLH,KDLH,Duluth International Airport
HYA,MA,Hyannis,HYA,HYA,KHYA,Barnstable Municipal Boardman Polando Field
DEN,CO,Denver,DEN,DEN,KDEN,Denver International Airport
EWN,NC,New Bern,EWN,EWN,KEWN,Coastal Carolina Regional Airport
RHI,WI,Rhinelander,RHI,RHI,KRHI,Rhinelander Oneida County Airport
SGU,UT,St George,SGU,SGU,KSGU,St George Regional Airport
ALB,NY,Albany,ALB,ALB,KALB,Albany International Airport
CPR,WY,Casper,CPR,CPR,KCPR,Casper-Natrona County International Airport
LNK,NE,Lincoln,LNK,LNK,KLNK,Lincoln Airport
GRI,NE,Grand Island,GRI,GRI,KGRI,Central Nebraska Regional Airport
OME,AK,Nome,OME,OME,PAOM,Nome Airport
PSP,CA,Palm Springs,PSP,PSP,KPSP,Palm Springs International Airport
IAD,VA,"Washington, DC",IAD,IAD,KIAD,Washington Dulles International Airport
BOI,ID,Boise,BOI,BOI,KBOI,Boise Air Terminal/Gowen Field
SBA,CA,Santa Barbara,SBA,SBA,KSBA,Santa Barbara Municipal Airport
IYK,CA,Inyokern,IYK,IYK,KIYK,Inyokern Airport
HOB,NM,Hobbs,HOB,HOB,KHOB,Lea County Regional Airport
LAR,WY,Laramie,LAR,LAR,KLAR,Laramie Regional Airport
MEI,MS,Meridian,MEI,MEI,KMEI,Key Field / Meridian Regional Airport
BRO,TX,Brownsville,BRO,BRO,KBRO,Brownsville South Padre Island International Airport
DRO,CO,Durango,DRO,DRO,KDRO,Durango La Plata County Airport
BRD,MN,Brainerd,BRD,BRD,KBRD,Brainerd Lakes Regional Airport
BMI,IL,Bloomington/Normal,BMI,BMI,KBMI,Central Illinois Regional Airport at Bloomington-Normal
RKS,WY,Rock Springs,RKS,RKS,KRKS,Southwest Wyoming Regional Airport
SEA,WA,Seattle,SEA,SEA,KSEA,Seattle–Tacoma International Airport
LAN,MI,Lansing,LAN,LAN,KLAN,Capital City Airport
CMI,IL,Savoy,CMI,CMI,KCMI,University of Illinois Willard Airport
VEL,UT,Vernal,VEL,VEL,KVEL,Vernal Regional Airport
LRD,TX,Laredo,LRD,LRD,KLRD,Laredo International Airport
PBG,NY,Plattsburgh,PBG,PBG,KPBG,Plattsburgh International Airport
VLD,GA,Valdosta,VLD,VLD,KVLD,Valdosta Regional Airport
HYS,KS,Hays,HYS,HYS,KHYS,Hays Regional Airport
PSM,NH,Portsmouth,PSM,PSM,KPSM,Portsmouth International at Pease Airport
MCI,MO,Kansas City,MCI,MCI,KMCI,Kansas City International Airport
PIR,SD,Pierre,PIR,PIR,KPIR,Pierre Regional Airport
FLG,AZ,Flagstaff,FLG,FLG,KFLG,Flagstaff Pulliam International Airport
GRK,TX,Killeen,GRK,GRK,KGRK,Killeen-Fort Hood Regional Airport / Robert Gray Army Air Field
BNA,TN,Nashville,BNA,BNA,KBNA,Nashville International Airport
CLT,NC,Charlotte,CLT,CLT,KCLT,Charlotte Douglas International Airport
CLL,TX,College Station,CLL,CLL,KCLL,Easterwood Field
TVC,MI,Traverse City,TVC,TVC,KTVC,Cherry Capital Airport
UST,FL,St Augustine,SGJ,UST,KSGJ,Northeast Florida Regional Airport
CGI,MO,Cape Girardeau,CGI,CGI,KCGI,Cape Girardeau Regional Airport
PSC,WA,Pasco,PSC,PSC,KPSC,Tri Cities Airport
BLI,WA,Bellingham,BLI,BLI,KBLI,Bellingham International Airport
CIC,CA,Chico,CIC,CIC,KCIC,Chico Municipal Airport
ORH,MA,Worcester,ORH,ORH,KORH,Worcester Regional Airport
ABQ,NM,Albuquerque,ABQ,ABQ,KABQ,Albuquerque International Sunport
PBI,FL,West Palm Beach,PBI,PBI,KPBI,Palm Beach International Airport
PIE,FL,St Petersburg-Clearwater,PIE,PIE,KPIE,St Petersburg Clearwater International Airport
SDF,KY,Louisville,SDF,SDF,KSDF,Louisville Muhammad Ali International Airport
ART,NY,Watertown,ART,ART,KART,Watertown International Airport
LAW,OK,Lawton,LAW,LAW,KLAW,Lawton Fort Sill Regional Airport
ACV,CA,Arcata/Eureka,ACV,ACV,KACV,California Redwood Coast-Humboldt County Airport
SCK,CA,Stockton,SCK,SCK,KSCK,Stockton Metropolitan Airport
